ordinal,case_id,category,conversation_id,turn_index,question,gold_fact_id,gold_topic,expected_answer_slots,forbidden_slots,gold_evidence_hints,canonical_answer,critical,notes
1,G5K_0001,fact_date,,1,nam bo khang chien la moc gi?,NAM_BO_KHANG_CHIEN_1945_START_DATE,Nam Bộ kháng chiến 1945,"[""23/9/1945"", ""Nam Bộ kháng chiến"", ""thực dân Pháp trở lại""]","[""Toàn quốc kháng chiến 19/12/1946"", ""Đội Việt Nam Tuyên truyền Giải phóng quân 22/12/1944"", ""thiếu mốc đúng 23/9/1945 khi sửa nhầm 19/12/1946""]","[""Nam Bộ kháng chiến bắt đầu ngày 23/9/1945"", ""23/9/1945""]","Nam Bộ kháng chiến bắt đầu ngày 23/9/1945, khi thực dân Pháp trở lại xâm lược ở Sài Gòn - Nam Bộ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
2,G5K_0002,fact_date,,1,"Trong dữ liệu 1930-1975, Tuyên ngôn Độc lập 1945 cần nhớ mốc nào?",TUYEN_NGON_DOC_LAP_1945,Tuyên ngôn Độc lập 1945,"[""2/9/1945"", ""Hồ Chí Minh"", ""Quảng trường Ba Đình"", ""Việt Nam Dân chủ Cộng hòa""]","[""30/4/1975""]","[""tuyen ngon doc lap""]","Ngày 2/9/1945, Hồ Chí Minh đọc Tuyên ngôn Độc lập tại Quảng trường Ba Đình, Hà Nội, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
3,G5K_0003,fact_date,,1,"Trong dữ liệu 1930-1975, Đội Việt Nam Tuyên truyền Giải phóng quân 1944 cần nhớ mốc nào?",VNTTGPQ_1944_FOUNDING_DATE,Đội Việt Nam Tuyên truyền Giải phóng quân 1944,"[""22/12/1944"", ""Đội Việt Nam Tuyên truyền Giải phóng quân""]","[""Việt Minh 1941""]","[""Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944""]","Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 tại rừng Trần Hưng Đạo, Cao Bằng; đơn vị này gắn với vai trò chỉ huy của Võ Nguyên Giáp.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
4,G5K_0004,fact_date,,1,"Nếu chỉ trả lời ngắn, Đại hội II của Đảng năm 1951 là mốc gì?",DAI_HOI_II_1951,Đại hội II của Đảng năm 1951,"[""1951"", ""Đại hội II"", ""Đảng Lao động Việt Nam""]","[""Hội nghị thành lập Đảng 1930""]","[""Đại hội II năm 1951"", ""Đảng Lao động Việt Nam""]",Năm 1951 gắn với Đại hội II của Đảng; đại hội quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
5,G5K_0005,fact_date,,1,"Khi ôn lịch sử, Hiệp định Sơ bộ Việt - Pháp 6/3/1946 nên ghi nhớ ngày hoặc năm nào?",HIEP_DINH_SO_BO_1946_DATE,Hiệp định Sơ bộ Việt - Pháp 6/3/1946,"[""6/3/1946"", ""Hiệp định Sơ bộ"", ""Việt - Pháp""]","[""Tạm ước 14/9/1946""]","[""6/3/1946"", ""Hiệp định Sơ bộ""]",Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
6,G5K_0006,fact_date,,1,"Khi ôn lịch sử, Đội Việt Nam Tuyên truyền Giải phóng quân 1944 nên ghi nhớ ngày hoặc năm nào?",VNTTGPQ_1944_FOUNDING_DATE,Đội Việt Nam Tuyên truyền Giải phóng quân 1944,"[""22/12/1944"", ""Đội Việt Nam Tuyên truyền Giải phóng quân""]","[""Việt Minh 1941""]","[""Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944""]","Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 tại rừng Trần Hưng Đạo, Cao Bằng; đơn vị này gắn với vai trò chỉ huy của Võ Nguyên Giáp.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
7,G5K_0007,fact_date,,1,Hỏi nhanh: Nhật đảo chính Pháp ở Đông Dương 1945 diễn ra/gắn với thời điểm nào?,NHAT_DAO_CHINH_PHAP_1945_DATE,Nhật đảo chính Pháp ở Đông Dương 1945,"[""9/3/1945"", ""Nhật đảo chính Pháp""]","[""Tuyên ngôn Độc lập 2/9/1945""]","[""9/3/1945"", ""Nhật đảo chính Pháp""]","Ngày 9/3/1945 gắn với sự kiện Nhật đảo chính Pháp ở Đông Dương, tạo bối cảnh để Đảng ra chỉ thị Nhật - Pháp bắn nhau và hành động của chúng ta.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
8,G5K_0008,fact_date,,1,Hỏi nhanh: Đại hội II của Đảng năm 1951 diễn ra/gắn với thời điểm nào?,DAI_HOI_II_1951,Đại hội II của Đảng năm 1951,"[""1951"", ""Đại hội II"", ""Đảng Lao động Việt Nam""]","[""Hội nghị thành lập Đảng 1930""]","[""Đại hội II năm 1951"", ""Đảng Lao động Việt Nam""]",Năm 1951 gắn với Đại hội II của Đảng; đại hội quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
9,G5K_0009,fact_date,,1,ngay 6/3/1946 la moc gi?,HIEP_DINH_SO_BO_1946_DATE,Hiệp định Sơ bộ Việt - Pháp 6/3/1946,"[""6/3/1946"", ""Hiệp định Sơ bộ"", ""Việt - Pháp""]","[""Tạm ước 14/9/1946""]","[""6/3/1946"", ""Hiệp định Sơ bộ""]",Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
10,G5K_0010,fact_date,,1,"Trong dữ liệu 1930-1975, Mặt trận Dân tộc Giải phóng miền Nam 1960 cần nhớ mốc nào?",NLF_1960_FOUNDING_DATE,Mặt trận Dân tộc Giải phóng miền Nam 1960,"[""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""miền Nam"", ""tập hợp lực lượng miền Nam"", ""đấu tranh chống Mỹ""]","[""Việt Minh 1941""]","[""Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960"", ""20/12/1960""]",Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960; ý nghĩa cốt lõi là tập hợp lực lượng miền Nam đấu tranh chống Mỹ và chính quyền Sài Gòn trong kháng chiến chống Mỹ.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
