ordinal,case_id,category,conversation_id,turn_index,http_status,question,answer,citations_text,evidence_titles_joined,answer_quality_score_0_10,factual_correctness_0_4,question_focus_0_2,completeness_0_1_5,citation_support_0_1_5,clarity_style_0_1,cap_rule_applied,critical_fail,retrieval_evidence_score_0_10,missing_expected_slots_joined,forbidden_hits_joined,audit_notes
1,G5K_0001,fact_date,,1,200,nam bo khang chien la moc gi?,"Nam Bộ kháng chiến là mốc ngày **23/9/1945**, khi **thực dân Pháp trở lại** xâm lược ở Sài Gòn - Nam Bộ; đây là thời điểm nhân dân Nam Bộ bước vào kháng chiến chống Pháp. [1][3]","[1]: Nam Bộ kháng chiến :: Chuẩn hóa theo canonical fact NAM_BO_KHANG_CHIEN_1945_START_DATE: Nam Bộ kháng chiến bắt đầu ngày 23/9/1945, khi thực dân Pháp trở lại xâm lược ở Sài Gòn - Nam Bộ.. [TITLE] Nam Bộ kháng chiến - canonical answer evidence [SUMMARY] Ngày 23/9/1945, nhân dân Nam Bộ bước vào kháng chiến chống thực dân Pháp quay lại xâm lược. [YEAR] 1945 [YEARS] 1945 [DA... | [3]: Nam Bộ kháng chiến bắt đầu ngày 23/9/1945 :: Ngày 23/9/1945, Nam Bộ kháng chiến bắt đầu khi thực dân Pháp trở lại xâm lược ở Sài Gòn - Nam Bộ.","Nam Bộ kháng chiến | Năm 1946: Hiệp định Sơ bộ, Tạm ước và Toàn quốc kháng chiến | Nam Bộ kháng chiến bắt đầu ngày 23/9/1945 | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Việt Nam hóa chiến tranh giai đoạn 1969-1973",10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
2,G5K_0002,fact_date,,1,200,"Trong dữ liệu 1930-1975, Tuyên ngôn Độc lập 1945 cần nhớ mốc nào?","Mốc cần nhớ là **ngày 2/9/1945**, khi **Hồ Chí Minh đọc Tuyên ngôn Độc lập**, khai sinh **nước Việt Nam Dân chủ Cộng hòa**. [1]","[1]: Nguồn Stage20G2: timeline mở rộng năm 1945 :: Ngày 9/3/1945, Nhật đảo chính Pháp ở Đông Dương. Ngày 12/3/1945, Đảng ra chỉ thị 'Nhật - Pháp bắn nhau và hành động của chúng ta'. Tháng 8/1945, Tổng khởi nghĩa giành chính quyền trên cả nước. Ngày 2/9/1945, Hồ Chí Minh đọc Tuyên ngôn Độc lập, khai sinh nước Việt Nam Dân chủ Cộng hòa.",Nguồn Stage20G2: timeline mở rộng năm 1945 | Năm 1930: Đảng Cộng sản Việt Nam ra đời và cao trào 1930-1931 | Năm 1959: Đoàn 559 và đường Trường Sơn | Năm 1975: Tổng tiến công mùa Xuân và giải phóng miền Nam | Năm 1974: chuyển biến trước Tổng tiến công 1975 và Phước Long,4.0,3.7,0.5,1.12,1.2,1.0,forbidden/wrong entity hit,True,10.0,Quảng trường Ba Đình,30/4/1975,
3,G5K_0003,fact_date,,1,200,"Trong dữ liệu 1930-1975, Đội Việt Nam Tuyên truyền Giải phóng quân 1944 cần nhớ mốc nào?","Mốc cần nhớ là ngày **22/12/1944**, khi **Đội Việt Nam Tuyên truyền Giải phóng quân** được thành lập tại rừng Trần Hưng Đạo, Cao Bằng. [1][2]","[1]: Đội Việt Nam Tuyên truyền Giải phóng quân :: Chuẩn hóa theo canonical fact VNTTGPQ_1944_FOUNDING_DATE: Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 tại rừng Trần Hưng Đạo, Cao Bằng; đơn vị này gắn với vai trò chỉ huy của Võ Nguyên Giáp.. [TITLE] Đội Việt Nam Tuyên truyền Giải phóng quân - canonical answer evidence [SUMMARY] Đội Việt Nam Tuyên truyền Giải phóng quân thàn... | [2]: Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 :: Ngày 22/12/1944, Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập tại rừng Trần Hưng Đạo, Cao Bằng.",Đội Việt Nam Tuyên truyền Giải phóng quân | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 | Huế được giải phóng ngày 26/3/1975 | Năm 1975: Tổng tiến công mùa Xuân và giải phóng miền Nam | Năm 1974: chuyển biến trước Tổng tiến công 1975 và Phước Long,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
4,G5K_0004,fact_date,,1,200,"Nếu chỉ trả lời ngắn, Đại hội II của Đảng năm 1951 là mốc gì?",Đại hội II của Đảng năm 1951 là mốc quyết định đưa Đảng ra hoạt động công khai với tên **Đảng Lao động Việt Nam**. [1],[1]: Đại hội đại biểu toàn quốc lần thứ II của Đảng :: Chuẩn hóa theo focus planner DAI_HOI_II_1951_DATE: Đại hội II của Đảng diễn ra năm 1951; Đại hội quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam.. [TITLE] Đại hội đại biểu toàn quốc lần thứ II của Đảng - canonical answer evidence [SUMMARY] Đại hội II năm 1951 quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động...,Đại hội đại biểu toàn quốc lần thứ II của Đảng | Đại hội II năm 1951 và Đảng Lao động Việt Nam | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | So sánh Đảng Cộng sản Việt Nam và Việt Minh | Đại hội I của Đảng năm 1935,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
5,G5K_0005,fact_date,,1,200,"Khi ôn lịch sử, Hiệp định Sơ bộ Việt - Pháp 6/3/1946 nên ghi nhớ ngày hoặc năm nào?","Khi ôn lịch sử, bạn nên ghi nhớ **ngày 6/3/1946**: đó là ngày ký **Hiệp định Sơ bộ Việt - Pháp**. [1]","[1]: Hiệp định Sơ bộ Việt-Pháp :: Chuẩn hóa theo canonical fact HIEP_DINH_SO_BO_1946_DATE: Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.. [TITLE] Hiệp định Sơ bộ Việt-Pháp - canonical answer evidence [SUMMARY] Ngày 6/3/1946, Chính phủ Việt Nam Dân chủ Cộng hòa ký Hiệp định ...","Hiệp định Sơ bộ Việt-Pháp | Năm 1946: Hiệp định Sơ bộ, Tạm ước và Toàn quốc kháng chiến | Nguồn trực tiếp: Hiệp định Genève 1954 quy định đình chỉ chiến sự và giới tuyến tạm thời | Bối cảnh chính của Hiệp định Paris 1973 | Năm 1945: Nhật đảo chính Pháp, Tổng khởi nghĩa và Tuyên ngôn Độc lập",4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,Tạm ước 14/9/1946,
6,G5K_0006,fact_date,,1,200,"Khi ôn lịch sử, Đội Việt Nam Tuyên truyền Giải phóng quân 1944 nên ghi nhớ ngày hoặc năm nào?","Khi ôn lịch sử, bạn nên ghi nhớ **Đội Việt Nam Tuyên truyền Giải phóng quân** được thành lập ngày **22/12/1944**. [1]","[1]: Đội Việt Nam Tuyên truyền Giải phóng quân :: Chuẩn hóa theo canonical fact VNTTGPQ_1944_FOUNDING_DATE: Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 tại rừng Trần Hưng Đạo, Cao Bằng; đơn vị này gắn với vai trò chỉ huy của Võ Nguyên Giáp.. [TITLE] Đội Việt Nam Tuyên truyền Giải phóng quân - canonical answer evidence [SUMMARY] Đội Việt Nam Tuyên truyền Giải phóng quân thàn...",Đội Việt Nam Tuyên truyền Giải phóng quân | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 | Việt Nam hóa chiến tranh giai đoạn 1969-1973 | Hội nghị Trung ương 8 năm 1941 và Việt Minh,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
7,G5K_0007,fact_date,,1,200,Hỏi nhanh: Nhật đảo chính Pháp ở Đông Dương 1945 diễn ra/gắn với thời điểm nào?,Nhật đảo chính Pháp ở Đông Dương diễn ra ngày **9/3/1945**. [1],"[1]: Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 :: Chuẩn hóa theo canonical fact NHAT_DAO_CHINH_PHAP_1945_DATE: Ngày 9/3/1945 gắn với sự kiện Nhật đảo chính Pháp ở Đông Dương, tạo bối cảnh để Đảng ra chỉ thị Nhật - Pháp bắn nhau và hành động của chúng ta.. [TITLE] Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 [SUMMARY] Nhật đảo chính Pháp ở Đông Dương ngày 9/3/1945. Sự kiện tạo bối cảnh để Đản...","Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 | So sánh Đảng Cộng sản Việt Nam và Việt Minh | Đại hội II năm 1951 và Đảng Lao động Việt Nam | Cao trào kháng Nhật cứu nước năm 1945 | Năm 1945: Nhật đảo chính Pháp, Tổng khởi nghĩa và Tuyên ngôn Độc lập",10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
8,G5K_0008,fact_date,,1,200,Hỏi nhanh: Đại hội II của Đảng năm 1951 diễn ra/gắn với thời điểm nào?,Đại hội II của Đảng diễn ra vào năm 1951; đây cũng là thời điểm Đảng quyết định công khai hoạt động với tên Đảng Lao động Việt Nam. [1],[1]: Đại hội đại biểu toàn quốc lần thứ II của Đảng :: Chuẩn hóa theo canonical fact DAI_HOI_II_1951: Năm 1951 gắn với Đại hội II của Đảng; đại hội quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam.. [TITLE] Đại hội đại biểu toàn quốc lần thứ II của Đảng - canonical answer evidence [SUMMARY] Đại hội II năm 1951 quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việ...,Đại hội đại biểu toàn quốc lần thứ II của Đảng | Đại hội II năm 1951 và Đảng Lao động Việt Nam | So sánh Đảng Cộng sản Việt Nam và Việt Minh | Đại hội I của Đảng năm 1935 | Hội nghị Trung ương 8 năm 1941 và Việt Minh,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
9,G5K_0009,fact_date,,1,200,ngay 6/3/1946 la moc gi?,Ngày 6/3/1946 là mốc ký kết **Hiệp định Sơ bộ Việt - Pháp**: Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập. [1],"[1]: Hiệp định Sơ bộ Việt-Pháp :: Chuẩn hóa theo canonical fact HIEP_DINH_SO_BO_1946_DATE: Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.. [TITLE] Hiệp định Sơ bộ Việt-Pháp - canonical answer evidence [SUMMARY] Ngày 6/3/1946, Chính phủ Việt Nam Dân chủ Cộng hòa ký Hiệp định ...","Hiệp định Sơ bộ Việt-Pháp | Năm 1946: Hiệp định Sơ bộ, Tạm ước và Toàn quốc kháng chiến | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Lời kêu gọi thi đua ái quốc ngày 11/6/1948 | Đảng Cộng sản Việt Nam thành lập năm 1930",4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,Tạm ước 14/9/1946,
10,G5K_0010,fact_date,,1,200,"Trong dữ liệu 1930-1975, Mặt trận Dân tộc Giải phóng miền Nam 1960 cần nhớ mốc nào?","Mốc cần nhớ là **20/12/1960**, khi **Mặt trận Dân tộc Giải phóng miền Nam Việt Nam** ra đời ở **miền Nam**, nhằm **tập hợp lực lượng miền Nam** trong **đấu tranh chống Mỹ**. [1]","[1]: Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960 :: Chuẩn hóa theo canonical fact NLF_1960_FOUNDING_DATE: Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960; ý nghĩa cốt lõi là tập hợp lực lượng miền Nam đấu tranh chống Mỹ và chính quyền Sài Gòn trong kháng chiến chống Mỹ.. [TITLE] Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960 [SUMMARY] Ngày 20/12/1960, Mặt t...",Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960 | Đồng Khởi là chuyển biến quan trọng ở miền Nam | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Huế được giải phóng ngày 26/3/1975 | Hội nghị Trung ương 8 năm 1941 và Việt Minh,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
